Open time,mempool_size,transaction_rate,market_cap_usd,average_block_size,market_price_usd,exchange_volume_usd,average_confirmation_time,hash_rate,difficulty,miners_revenue,total_transaction_fees
2009-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97102696296296e-08,1.0,0.0,0.0
2009-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95943774814815e-07,1.0,0.0,0.0
2009-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54101835851852e-06,1.0,0.0,0.0
2009-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26928858074074e-06,1.0,0.0,0.0
2009-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42421399703704e-06,1.0,0.0,0.0
2009-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71668100740741e-06,1.0,0.0,0.0
2009-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26349397333333e-06,1.0,0.0,0.0
2009-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31320424296296e-06,1.0,0.0,0.0
2009-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76639127703704e-06,1.0,0.0,0.0
2009-01-17,0.0,0.0,0.0,0.000215853211009174,0.0,0.0,0.0,5.36870912e-06,1.0,0.0,0.0
2009-01-18,0.0,0.0,0.0,0.000219943925233645,0.0,0.0,0.0,5.02073723259259e-06,1.0,0.0,0.0
2009-01-19,0.0,0.0,0.0,0.000232895652173913,0.0,0.0,0.0,5.91552208592593e-06,1.0,0.0,0.0
2009-01-20,0.0,0.0,0.0,0.000224728070175439,0.0,0.0,0.0,5.76639127703704e-06,1.0,0.0,0.0
2009-01-21,0.0,0.0,0.0,0.000230456310679612,0.0,0.0,0.0,5.61726046814815e-06,1.0,0.0,0.0
2009-01-22,0.0,0.0,0.0,0.000215733333333333,0.0,0.0,0.0,3.72827022222222e-06,1.0,0.0,0.0
2009-01-23,0.0,0.0,0.0,0.000229238095238095,0.0,0.0,0.0,3.33058806518518e-06,1.0,0.0,0.0
2009-01-24,0.0,0.0,0.0,0.000222059701492538,0.0,0.0,0.0,9.8923436562963e-06,1.0,0.0,0.0
2009-01-25,0.0,0.0,0.0,0.000217,0.0,0.0,0.0,9.64379230814815e-06,1.0,0.0,0.0
2009-01-26,0.0,0.0,0.0,0.000239947916666667,0.0,0.0,0.0,5.76639127703704e-06,1.0,0.0,0.0
2009-01-27,0.0,0.0,0.0,0.000220309278350515,0.0,0.0,0.0,5.12015777185185e-06,1.0,0.0,0.0
2009-01-28,0.0,0.0,0.0,0.000215651785714286,0.0,0.0,0.0,5.12015777185185e-06,1.0,0.0,0.0
2009-01-29,0.0,0.0,0.0,0.000227256198347107,0.0,0.0,0.0,6.06465289481481e-06,1.0,0.0,0.0
2009-01-30,0.0,0.0,0.0,0.000215871794871795,0.0,0.0,0.0,6.01494262518519e-06,1.0,0.0,0.0
2009-01-31,0.0,0.0,0.0,0.000232463768115942,0.0,0.0,0.0,6.41262478222222e-06,1.0,0.0,0.0
