date,hash-rate,difficulty,miners-revenue,transaction-fees,n-transactions,mempool-size,blocks-size,avg-block-size,estimated-transaction-volume,total-bitcoins,trade-volume
2017-10-05,,,,,,,136177.654458,,,,
2017-10-06,,,9444311.29584243,149.02120217,283699.0,8394303.0,,0.92043579245283,,16606487.5,
2017-10-07,,,,,,,,,,,
2017-10-08,10167893.5413971,1123863285132.0,,,,,,,150308.01909421,,128192914.6734
2017-10-09,,,,,,6234190.5,136722.56239,,,16613975.0,
2017-10-10,,,10589103.2255027,167.2582099,303101.0,,,0.9642725875,,,
2017-10-11,,,,,,11761715.0,,,,,
2017-10-12,8547734.68040521,1123863285132.0,,,,,,,208561.25738495,,295127991.4344
2017-10-13,,,,,,49029117.5,137316.049199,,,,
2017-10-14,,,11510644.7555848,227.59563891,293140.0,,,1.02322143971631,,16621425.0,
2017-10-15,,,,,,4488999.5,,,,,
2017-10-16,10351762.4275025,1196792694098.0,,,,,,,202116.52169284,,501526110.195
2017-10-17,,,,,,,137933.776718,,,16628900.0,
2017-10-18,,,11245621.2524095,192.2026716,329579.0,10657261.5,,1.01752149006623,,,
2017-10-19,,,,,,,,,,,
2017-10-20,10649226.8650745,1196792694098.0,,,,18290058.5,,,187324.71909983,,402515406.4904
2017-10-21,,,,,,,138603.861454,,,16636350.0,
2017-10-22,,,14386157.8993985,155.33193023,289131.0,43118909.5,,1.00528622527473,,,
2017-10-23,,,,,,,,,,,
2017-10-24,9935312.21490186,1196792694098.0,,,,47504071.0,,,384097.02156606,16643787.5,704517582.7138
2017-10-25,,,,,,,139286.06979,,,,
2017-10-26,,,14196709.0848065,112.65051758,265827.0,16449479.5,,0.732356488888889,,,
2017-10-27,,,,,,,,,,,
2017-10-28,6138789.85774571,1452839779145.0,,,,,,,111884.72022889,16651262.5,439545835.0836
2017-10-29,,,,,,32924056.0,139790.309702,,,,
2017-10-30,,,12873410.4360565,263.59097424,316077.0,,,1.02850913605442,,,
2017-10-31,,,,,,18408472.0,,,,,
2017-11-01,7872095.2293445,1452839779145.0,,,,,,,295054.37745219,16658725.0,564490394.0097
2017-11-02,,,,,,48736692.0,140404.209275,,,,
2017-11-03,,,12745769.1613126,271.77385265,277598.0,,,1.04660597478992,,,
2017-11-04,,,,,,56766745.5,,,,,
2017-11-05,10183169.0581429,1452839779145.0,,,,,,,179787.82309936,,655029352.6182
2017-11-06,,,,,,,140965.023533,,,16666200.0,
2017-11-07,,,15916555.6435329,294.12731396,335636.0,52500757.5,,1.02638008333333,,,
2017-11-08,,,,,,,,,,,
2017-11-09,11049821.7439423,1452839779145.0,,,,65566925.5,,,326073.31205169,,1459963138.914
2017-11-10,,,,,,,141568.734187,,,16673650.0,
2017-11-11,,,8785091.45149512,323.8993876,197081.0,103154413.0,,1.05829409876543,,,
2017-11-12,,,,,,,,,,,
2017-11-13,9495610.53578818,1364422081125.0,,,,111793860.0,,,328110.96599336,,1947533099.8032
2017-11-14,,,,,,,142009.510402,,,,
2017-11-15,,,17885007.8421946,603.50996198,321788.0,,,1.04591063157895,,16681112.5,
2017-11-16,,,,,,101990690.5,,,,,
2017-11-17,11326906.8534045,1364422081125.0,,,,,,,363158.90489247,,1311892193.3026
2017-11-18,,,,,,94532916.0,142628.204487,,,,
2017-11-19,,,17836891.9126454,247.44354414,264855.0,,,1.042986825,,16688562.5,
2017-11-20,,,,,,67305124.5,,,,,
2017-11-21,11733861.5906525,1364422081125.0,,,,,,,321615.07547251,,671161077.7342
2017-11-22,,,,,,67977287.0,143298.579685,,,,
2017-11-23,,,18447902.2439344,265.91956914,352207.0,,,1.0568942611465,,16696062.5,
2017-11-24,,,,,,73432646.5,,,,,
2017-11-25,10445729.4715075,1347001430558.0,,,,,,,272023.83708873,,735743128.217
2017-11-26,,,,,,,143941.907625,,,,
2017-11-27,,,22731345.2947229,236.5030831,379256.0,62103110.0,,1.04739664705882,,16703550.0,
2017-11-28,,,,,,,,,,,
2017-11-29,11584046.1446846,1347001430558.0,,,,84688682.5,,,410182.88249716,,996705854.69
2017-11-30,,,,,,,144629.35741,,,16711012.5,
2017-12-01,,,25856448.1705625,247.0519056,412908.0,102725971.5,,1.06808466666667,,,
2017-12-02,,,,,,,,,,,
2017-12-03,11784925.5575982,1347001430558.0,,,,87875420.5,,,182266.08985881,,1071047445.6545
2017-12-04,,,,,,,145354.358646,,,16718462.5,
2017-12-05,,,29210388.2872577,219.679754,405709.0,,,1.05865853370787,,,
2017-12-06,,,,,,96339560.5,,,,,
2017-12-07,11941671.1962486,1590896927258.0,,,,,,,346848.43891747,16725950.0,1455207332.2967
2017-12-08,,,,,,87950367.0,146094.153826,,,,
2017-12-09,,,42165253.3814881,567.08842445,403399.0,,,1.05126628735632,,,
2017-12-10,,,,,,74724403.5,,,,,
2017-12-11,13523349.5003875,1590896927258.0,,,,,,,255636.32479309,16733425.0,2382377788.817
2017-12-12,,,,,,115204985.0,146795.686917,,,,
2017-12-13,,,50475052.9011524,604.2979452,424579.0,,,1.05706467204301,,,
2017-12-14,,,,,,107596183.0,,,,16740925.0,
2017-12-15,13365181.6699736,1590896927258.0,,,,,,,238357.18688361,,1294259776.502
2017-12-16,,,,,,,147529.374879,,,,
2017-12-17,,,55498368.9347384,535.43867532,391910.0,112910616.0,,1.04107442162162,,,
2017-12-18,,,,,,,,,,16748375.0,
2017-12-19,13035760.950516,1873105475221.0,,,,106315026.5,,,212627.84463853,,1638480796.7274
2017-12-20,,,,,,,148240.752553,,,,
2017-12-21,,,46165232.3021406,1128.76167038,335482.0,103739754.0,,1.03869209090909,,,
2017-12-22,,,,,,,,,,16755825.0,
2017-12-23,12942648.372298,1873105475221.0,,,,121733209.0,,,160500.92664724,,1758482732.8843
2017-12-24,,,,,,,148835.741036,,,,
2017-12-25,,,33837650.8285438,689.39441204,228926.0,,,1.05074595555555,,,
2017-12-26,,,,,,119054913.0,,,,16763287.5,
2017-12-27,14525562.2020035,1873105475221.0,,,,,,,304698.556495,,1500718838.4262
2017-12-28,,,,,,117548450.5,149455.153988,,,,
2017-12-29,,,41872625.551997,785.79504963,353824.0,,,1.04775371515152,,,
2017-12-30,,,,,,112475899.0,,,,16770750.0,
2017-12-31,15177350.2495293,1873105475221.0,,,,,,,237745.33504809,,1506584173.1766
2018-01-01,,,,,,118644418.5,150110.786114,,,,
2018-01-02,,,39946758.985841,649.16497626,340980.0,,,1.04136759649123,,16778225.0,
2018-01-03,,,,,,,,,,,
2018-01-04,16127548.7258182,1931136454487.0,,,,116962854.0,,,266691.83551222,,1059922923.7584
2018-01-05,,,,,,,150797.951213,,,,
2018-01-06,,,46563789.9760972,694.47790564,358847.0,101814779.0,,1.05460916071429,,16785675.0,
2018-01-07,,,,,,,,,,,
2018-01-08,15935554.0981299,1931136454487.0,,,,109437232.5,,,267166.4271006,,864432591.694
2018-01-09,,,,,,,151471.960884,,,,
2018-01-10,,,39636974.2597653,720.32570087,347393.0,136438286.5,,1.05819497590362,,16793150.0,
2018-01-11,,,,,,,,,,,
2018-01-12,17087521.8642597,1931136454487.0,,,,126108451.0,,,234452.1163729,,1474449470.192
2018-01-13,,,,,,,152212.310983,,,16800587.5,
2018-01-14,,,33285730.8286788,491.32446483,235045.0,,,1.05065776774194,,,
2018-01-15,,,,,,121105724.5,,,,,
2018-01-16,17608758.1817911,2227847638503.0,,,,,,,270303.67202109,,787732866.9914
2018-01-17,,,,,,116442748.0,152852.21919,,,16808037.5,
2018-01-18,,,32739932.5047795,656.89753535,309495.0,,,1.05084887283237,,,
2018-01-19,,,,,,116286881.5,,,,,
2018-01-20,19712949.4110618,2227847638503.0,,,,,,,210298.64211444,16815537.5,1204269035.298
2018-01-21,,,,,,124938983.0,153581.391891,,,,
2018-01-22,,,27049040.6377818,314.61253947,245562.0,,,1.08103810179641,,,
2018-01-23,,,,,,,,,,,
2018-01-24,19491455.5974543,2227847638503.0,,,,127599315.0,,,186181.46222014,16822975.0,1423493479.2224
2018-01-25,,,,,,,154341.167439,,,,
2018-01-26,,,23885798.1844209,209.13221596,220459.0,98000908.5,,1.04262729677419,,,
2018-01-27,,,,,,,,,,,
2018-01-28,20445148.5647756,2603077300218.0,,,,87460153.5,,,167401.01736077,16830412.5,873498645.6154
2018-01-29,,,,,,,155004.152868,,,,
2018-01-30,,,24473743.4213841,160.30090386,236609.0,55230981.0,,0.987508670658683,,,
2018-01-31,,,,,,,,,,,
2018-02-01,20703947.9136968,2603077300218.0,,,,,,,279146.56376038,16837912.5,1071289592.88
2018-02-02,,,,,,46060688.0,155610.347284,,,,
2018-02-03,,,19143008.6973898,146.92776937,194891.0,,,0.996566860759494,,,
2018-02-04,,,,,,45911938.5,,,,16845362.5,
2018-02-05,23938939.775212,2603077300218.0,,,,,,,257877.68071212,,1199569483.5732
2018-02-06,,,,,,27519469.0,156319.922493,,,,
2018-02-07,,,15016975.9975587,123.52109098,213719.0,,,1.07172239007092,,,
2018-02-08,,,,,,21266290.5,,,,16852812.5,
2018-02-09,19291612.224166,2874674234415.0,,,,,,,199472.83091889,,1400664131.4024
2018-02-10,,,,,,27058615.0,156935.095099,,,,
2018-02-11,,,16243960.9275333,61.96458348,147208.0,,,1.00691915231788,,,
2018-02-12,,,,,,,,,,16860300.0,
2018-02-13,23435736.3315795,2874674234415.0,,,,18785867.0,,,146929.34577495,,987896393.16
2018-02-14,,,,,,,157577.403619,,,,
2018-02-15,,,16956455.4438234,64.08005499,198183.0,8995890.0,,1.06389496183206,,,
2018-02-16,,,,,,,,,,16867737.5,
2018-02-17,21292223.8622277,2874674234415.0,,,,39166871.0,,,80893.89617716,,972263786.9056
2018-02-18,,,,,,,158198.564077,,,,
2018-02-19,,,23360784.6795428,50.9081119,187367.0,28734326.5,,1.00658407407407,,,
2018-02-20,,,,,,,,,,16875225.0,
2018-02-21,25265138.8267172,3007383866429.0,,,,,,,145459.85457672,,1482868607.2068
2018-02-22,,,,,,15095256.0,158828.660437,,,,
2018-02-23,,,19432244.5627423,73.94810594,185193.0,,,1.00629297297297,,16882662.5,
2018-02-24,,,,,,70114501.0,,,,,
2018-02-25,25564134.5524772,3007383866429.0,,,,,,,76897.66460255,,1111682121.7824
2018-02-26,,,,,,32713432.5,159384.300932,,,,
2018-02-27,,,21628887.7869834,50.54578675,219624.0,,,1.01619215,,16890112.5,
2018-02-28,,,,,,44892958.0,,,,,
2018-03-01,24667147.3751973,3007383866429.0,,,,,,,190547.6522974,,1008948245.9602
2018-03-02,,,,,,,160025.839098,,,,
2018-03-03,,,26214536.4268542,37.96379904,177024.0,32816835.5,,0.976833516666666,,16897612.5,
2018-03-04,,,,,,,,,,,
2018-03-05,24372959.7309369,3233581400367.21,,,,27951164.5,,,136451.97474105,,642906304.456
2018-03-06,,,,,,,160635.720884,,,,
2018-03-07,,,21157511.2468039,34.8377064,213978.0,19038902.5,,1.02232191082803,,16905050.0,
2018-03-08,,,,,,,,,,,
2018-03-09,23882228.9980992,3290605988755.0,,,,16446582.5,,,209952.82852803,,1333961757.815
2018-03-10,,,,,,,161271.46641,,,,
2018-03-11,,,18210037.1103318,39.61038377,150884.0,5703690.0,,1.01315076470588,,16912512.5,
2018-03-12,,,,,,,,,,,
2018-03-13,25845151.9294498,3290605988755.0,,,,,,,155930.19963723,,1268254508.4
2018-03-14,,,,,,229332.5,161861.837391,,,,
2018-03-15,,,14891789.5575998,36.64624829,206186.0,,,0.770433131944445,,16920000.0,
2018-03-16,,,,,,414665.0,,,,,
2018-03-17,24372959.7309369,3290605988755.0,,,,,,,87993.26009963,,973873396.0022
2018-03-18,,,,,,1471889.0,162262.475796,,,,
2018-03-19,,,16605902.4023534,30.78064883,191528.0,,,0.678044703225806,,16927450.0,
2018-03-20,,,,,,418413.0,,,,,
2018-03-21,26162835.2122593,3462542391191.0,,,,,,,116440.08659449,,1059662670.087
2018-03-22,,,,,,,162676.150801,,,,
2018-03-23,,,14416156.914284,26.25767336,179818.0,1222623.0,,0.830547676691729,,16934900.0,
2018-03-24,,,,,,,,,,,
2018-03-25,23236728.6424672,3462542391191.0,,,,120163.0,,,105825.41526348,,720411912.128
2018-03-26,,,,,,,163070.650784,,,,
2018-03-27,,,15343941.6498773,27.51028124,187065.0,6558791.0,,0.763199125,,16942375.0,
2018-03-28,,,,,,,,,,,
2018-03-29,26162835.2122593,3462542391191.0,,,,342281.0,,,150158.72822356,,589107762.5112
2018-03-30,,,,,,,163494.417659,,,,
2018-03-31,,,11496221.1522506,20.07447617,148617.0,254692.5,,0.6763264765625,,16949850.0,
2018-04-01,,,,,,,,,,,
2018-04-02,27227579.6162083,3511060552899.0,,,,,,,110068.82873236,,813154210.591
2018-04-03,,,,,,142720.0,163843.946204,,,,
2018-04-04,,,13317444.6543738,24.81899369,185710.0,,,0.723346340136055,,16957300.0,
2018-04-05,,,,,,246622.5,,,,,
2018-04-06,24085935.8143381,3511060552899.0,,,,,,,108538.67894632,,691743079.4208
2018-04-07,,,,,,213574.0,164275.335946,,,,
2018-04-08,,,14381384.2556293,21.01734283,138535.0,,,0.431451763975155,,16964775.0,
2018-04-09,,,,,,498741.5,,,,,
2018-04-10,28623865.7503728,3511060552899.0,,,,,,,120032.31391682,,836397533.2548
2018-04-11,,,,,,,164662.270224,,,,
2018-04-12,,,14467514.3872462,35.70920887,210879.0,663792.0,,0.825766454545454,,16972225.0,
2018-04-13,,,,,,,,,,,
2018-04-14,26146926.5194725,3796188328004.62,,,,5703784.0,,,64658.99849488,,1040511128.8275
2018-04-15,,,,,,,165121.182964,,,16979675.0,
